"id","registration","timestamp","lat","lon","altitude"
1,"EC-LBD","2023-05-10 21:46:07.906",NULL,NULL,NULL
3,"EC-LBD","2023-05-10 21:50:06.192",NULL,NULL,NULL
4,"EC-LBD","2023-05-10 22:05:44.268",NULL,NULL,NULL
5,"EC-LBD","2023-05-10 22:09:30.461",NULL,NULL,NULL
6,"EC-LBD","2023-05-10 18:51:51.234",NULL,NULL,NULL
7,"EC-MMF","2023-05-10 18:51:53.451",NULL,NULL,NULL
8,"EC-MDO","2023-05-10 18:51:55.024",NULL,NULL,NULL
9,"EC-IKS","2023-05-10 18:51:55.558",NULL,NULL,NULL
10,"EC-ISB","2023-05-10 18:51:57.14",NULL,NULL,NULL
11,"EC-LDF","2023-05-10 18:51:58.964",NULL,NULL,NULL
12,"EC-KXU","2023-05-10 18:52:00.999",NULL,NULL,NULL
13,"EC-ISZ","2023-05-10 18:52:03.44",NULL,NULL,NULL
14,"EC-LAR","2023-05-10 18:52:06.052",NULL,NULL,NULL
15,"EC-JMK","2023-05-10 18:52:06.585",NULL,NULL,NULL
16,"EC-LGC","2023-05-10 18:52:07.127",NULL,NULL,NULL
17,"EC-LGD","2023-05-10 18:52:07.545",NULL,NULL,NULL
18,"EC-MHV","2023-05-10 18:52:07.961",NULL,NULL,NULL
19,"EC-LBD","2023-05-16 22:45:42.201",NULL,NULL,NULL
20,"EC-MMF","2023-05-16 22:45:44.881",NULL,NULL,NULL
21,"EC-MDO","2023-05-16 22:45:45.951",NULL,NULL,NULL
22,"EC-IKS","2023-05-16 22:45:46.61",NULL,NULL,NULL
23,"EC-ISB","2023-05-16 22:45:47.363",NULL,NULL,NULL
24,"EC-LDF","2023-05-16 22:45:51.399",NULL,NULL,NULL
25,"EC-KXU","2023-05-16 22:45:52.28",NULL,NULL,NULL
26,"EC-ISZ","2023-05-16 22:45:52.947",NULL,NULL,NULL
27,"EC-LAR","2023-05-16 22:45:53.995",NULL,NULL,NULL
28,"EC-JMK","2023-05-16 22:45:54.561",NULL,NULL,NULL
29,"EC-LGC","2023-05-16 22:45:55.543",NULL,NULL,NULL
30,"EC-LGD","2023-05-16 22:45:57.4",NULL,NULL,NULL
31,"EC-MHV","2023-05-16 22:46:02.907",NULL,NULL,NULL
32,"EC-LBD","2023-05-17 20:18:07.831",NULL,NULL,NULL
33,"EC-MMF","2023-05-17 20:18:09.219",NULL,NULL,NULL
34,"EC-MDO","2023-05-17 20:18:10.709",NULL,NULL,NULL
35,"EC-IKS","2023-05-17 20:18:11.798",NULL,NULL,NULL
